From;To;Type;Through;start_x;start_y;stop_x;stop_y;adjacency_rule_name;Comment

7153;5407;impassable;-1;2744;1328;2744;1328;;Spanish;Med;Coast;;
9979;5407;impassable;-1;2744;1328;2744;1328;;Spanish;Med;Coast;Malaga;
7068;5407;impassable;-1;2744;1328;2744;1328;;Spanish;Med;Coast;;
10063;5407;impassable;-1;2744;1328;2744;1328;;Spanish;Med;Coast;;
10063;8793;impassable;-1;2744;1328;2744;1328;;Spanish;Med;Coast;;
747;8793;impassable;-1;2744;1328;2744;1328;;Spanish;Med;Coast;;
12038;8793;impassable;-1;2744;1328;2744;1328;;Spanish;Med;Coast;;
12038;5431;impassable;-1;2744;1328;2744;1328;;Spanish;Med;Coast;;
4065;5431;impassable;-1;2744;1328;2744;1328;;Spanish;Med;Coast;;
10109;5431;impassable;-1;2744;1328;2744;1328;;Spanish;Med;Coast;;
10024;5431;impassable;-1;2744;1328;2744;1328;;Spanish;Med;Coast;;
4098;5431;impassable;-1;2744;1328;2744;1328;;Spanish;Med;Coast;;
4098;5454;impassable;-1;2744;1328;2744;1328;;Spanish;Med;Coast;;
962;5454;impassable;-1;2744;1328;2744;1328;;Spanish;Med;Coast;;
6959;5454;impassable;-1;2744;1328;2744;1328;;Spanish;Med;Coast;;
6906;5454;impassable;-1;2744;1328;2744;1328;;Spanish;Med;Coast;Valencia;
9896;5454;impassable;-1;2744;1328;2744;1328;;Spanish;Med;Coast;;
6817;5454;impassable;-1;2744;1328;2744;1328;;Spanish;Med;Coast;;
3873;5454;impassable;-1;2744;1328;2744;1328;;Spanish;Med;Coast;;
3873;8845;impassable;-1;2744;1328;2744;1328;;Spanish;Med;Coast;;
6966;8845;impassable;-1;2744;1328;2744;1328;;Spanish;Med;Coast;;
6812;8845;impassable;-1;2744;1328;2744;1328;;Spanish;Med;Coast;;
9764;8845;impassable;-1;2744;1328;2744;1328;;Spanish;Med;Coast;Barcelona;
854;8845;impassable;-1;2744;1328;2744;1328;;Spanish;Med;Coast;;
854;5505;impassable;-1;2744;1328;2744;1328;;Spanish;Med;Coast;;
6927;5505;impassable;-1;2744;1328;2744;1328;;Spanish;Med;Coast;;
9824;5505;impassable;-1;2744;1328;2744;1328;;Spanish;Med;Coast;;
6756;8592;impassable;-1;2744;1328;2744;1328;;Spanish;North-Atlantic;Coast;;
740;8592;impassable;-1;2744;1328;2744;1328;;Spanish;North-Atlantic;Coast;Bilbao;
